cumulative energy, local energy at each 100step
14.4899,14.4899
16.4252,15.9537
17.8639,18.0707
16.9706,18.5117
17.6144,21.5263
17.8026,21.5304
17.8966,17.7941
18.0715,20.5096
18.2827,19.8385
18.2683,17.2283
18.2776,20.8399
18.2554,18.4677
18.0542,15.6515
17.9447,18.8159
17.8959,17.7937
18.0086,20.6663
18.093,19.2907
18.0802,18.7664
17.8871,19.1825
17.9082,18.3242
17.9803,19.699
18.0192,20.6234
18.0697,16.1277
18.1225,20.7972
18.2428,20.341
18.1596,16.1775
18.1182,14.9631
18.1845,23.0618
18.2631,21.1528
18.2359,19.9038
18.1978,17.367
18.265,20.5548
18.2561,19.8804
18.1922,17.6684
18.138,11.7276
18.0987,18.4188
18.0849,14.6322
18.1517,24.4634
18.255,22.0689
18.2653,21.6313
18.2975,23.53
18.3343,19.4062
18.3499,19.6711
18.3828,22.3301
18.3887,15.4238
18.3955,23.384
18.3561,13.6612
18.3208,17.6378
18.3252,18.4508
18.2754,21.0956
18.3293,17.3451
18.3234,18.5094
18.3012,18.5195
18.2434,15.3061
18.2859,21.6718
18.2707,18.3406
18.2665,18.3246
18.2974,17.0009
18.2702,18.9742
18.2675,21.5906
18.2804,18.5341
18.3384,21.8093
18.3359,14.5655
18.2995,18.1915
18.3081,20.3963
18.3463,20.9933
18.3334,12.5775
18.3194,18.855
18.3503,25.2495
18.3938,17.912
18.417,22.8214
18.44,19.6112
18.4402,19.2512
18.4803,16.2509
18.4984,20.6815
18.5256,21.5486
18.5275,16.9805
18.5624,20.9821
18.5772,14.7637
18.5676,18.2226
18.5845,17.3324
18.6015,22.0465
18.6173,18.4801
18.5693,13.9895
18.515,19.3488
18.524,18.5156
18.5523,18.2608
18.5002,15.1447
18.4895,15.9372
18.4728,18.933
18.4648,12.8174
18.4756,22.5381
18.5065,21.2451
18.5076,15.7338
18.5267,21.6687
18.5367,21.5247
18.5629,21.6827
18.5672,18.6911
18.5943,20.1279
18.6002,20.7006
18.6113,13.0418
18.5862,20.6399
18.5991,18.549
18.6229,21.5259
18.6129,15.3643
18.6485,23.5721
18.6695,21.8737
18.6901,21.487
18.6922,21.6626
18.7018,20.8904
18.725,21.9425
18.757,19.1572
18.7644,15.9617
18.749,13.4333
18.7541,19.201
18.7612,16.9662
18.7607,16.5488
18.7705,16.0123
18.7683,22.4804
18.7813,20.836
18.8023,15.612
18.7888,19.3034
18.7889,21.4828
18.804,21.4508
18.8296,17.4277
18.8194,19.2676
18.8216,16.2383
18.8261,18.835
18.8156,18.2206
18.8063,8.57154
18.7858,17.0835
18.7886,22.0278
18.8117,22.5446
18.812,20.9404
18.8085,14.9424
18.8013,21.1616
18.7971,11.8523
18.7674,17.2003
18.7599,16.6686
18.7175,12.9071
18.7031,22.1257
18.7007,19.5847
18.6934,18.2352
18.6891,17.6894
18.678,19.7561
18.6838,19.0605
18.6948,17.7845
18.6985,20.3621
18.6934,19.6823
18.7135,22.655
18.7175,18.2314
18.7102,22.5624
18.695,12.8495
18.6669,11.786
18.6596,19.7663
18.6784,21.1743
18.7033,20.6069
18.7104,20.3493
18.7055,17.765
18.6871,18.888
18.701,19.2482
18.6963,14.201
18.6666,18.5755
18.6557,17.8207
18.6471,23.345
18.663,22.5903
18.6732,17.6436
18.6607,15.7463
18.6608,21.886
18.6603,19.1695
18.6595,20.1469
18.6624,10.8415
18.6331,16.5521
18.63,18.2773
18.6174,15.9362
18.6284,23.7065
18.643,19.8585
18.6622,19.1726
18.657,15.0401
18.65,14.6935
18.6631,19.6689
18.6639,13.2294
18.656,11.9325
18.6595,18.5545
18.661,13.8924
18.6463,17.2077
18.6511,18.4863
18.6583,18.6199
18.6615,17.4749
18.651,15.2617
18.6366,15.3835
18.6428,21.7241
18.6497,14.2713
18.6452,18.6584
18.6315,19.9179
18.6301,18.8514
18.6362,20.2799
18.6328,20.5873
18.6398,18.1298
18.6291,19.7939
18.628,18.0623
18.6163,20.894
18.6246,15.9891
18.5967,17.133
18.5862,15.3959
18.582,18.7427
18.5826,16.1632
18.5818,20.3356
18.5835,19.4505
18.5691,17.7607
18.5798,21.678
18.5818,14.7311
18.5799,16.1549
18.5854,22.4897
18.585,16.3996
18.5821,18.3814
18.5807,21.3977
