xval,magnitude,radval,magnitude
-5,0,0,0
-4.95,0,0.05,9
-4.9,0,0.1,230
-4.85,0,0.15,415
-4.8,0,0.2,514
-4.75,0,0.25,1060
-4.7,0,0.3,1530
-4.65,0,0.35,1738
-4.6,0,0.4,2324
-4.55,0,0.45,2388
-4.5,0,0.5,2731
-4.45,0,0.55,3647
-4.4,0,0.6,3727
-4.35,0,0.65,3928
-4.3,0,0.7,4105
-4.25,0,0.75,4448
-4.2,0,0.8,3896
-4.15,0,0.85,4603
-4.1,0,0.9,4732
-4.05,0,0.95,4332
-4,0,1,4126
-3.95,0,1.05,4045
-3.9,0,1.1,4141
-3.85,0,1.15,4438
-3.8,0,1.2,3515
-3.75,0,1.25,3432
-3.7,0,1.3,3009
-3.65,0,1.35,2706
-3.6,0,1.4,3087
-3.55,0,1.45,2248
-3.5,0,1.5,1941
-3.45,0,1.55,1575
-3.4,0,1.6,1816
-3.35,0,1.65,1420
-3.3,0,1.7,1153
-3.25,0,1.75,946
-3.2,0,1.8,1126
-3.15,0,1.85,955
-3.1,0,1.9,533
-3.05,0,1.95,701
-3,0,2,495
-2.95,0,2.05,318
-2.9,0,2.1,319
-2.85,0,2.15,238
-2.8,0,2.2,239
-2.75,0,2.25,237
-2.7,0,2.3,237
-2.65,0,2.35,149
-2.6,0,2.4,88
-2.55,0,2.45,29
-2.5,0,2.5,18
-2.45,0,2.55,69
-2.4,2,2.6,59
-2.35,7,2.65,67
-2.3,0,2.7,35
-2.25,0,2.75,30
-2.2,3,2.8,14
-2.15,42,2.85,22
-2.1,2,2.9,0
-2.05,56,2.95,0
-2,93,3,33
-1.95,62,3.05,10
-1.9,34,3.1,0
-1.85,28,3.15,0
-1.8,72,3.2,22
-1.75,120,3.25,0
-1.7,89,3.3,0
-1.65,239,3.35,0
-1.6,148,3.4,0
-1.55,175,3.45,0
-1.5,307,3.5,0
-1.45,400,3.55,0
-1.4,423,3.6,0
-1.35,554,3.65,0
-1.3,562,3.7,2
-1.25,906,3.75,0
-1.2,573,3.8,0
-1.15,1107,3.85,0
-1.1,783,3.9,0
-1.05,1134,3.95,0
-1,883,4,0
-0.95,1192,4.05,0
-0.9,1096,4.1,0
-0.85,1209,4.15,0
-0.8,1445,4.2,0
-0.75,1776,4.25,0
-0.7,1516,4.3,0
-0.65,2222,4.35,0
-0.6,1645,4.4,0
-0.55,1762,4.45,0
-0.5,2502,4.5,0
-0.45,2165,4.55,0
-0.4,2373,4.6,0
-0.35,2566,4.65,0
-0.3,2324,4.7,0
-0.25,2684,4.75,0
-0.2,2453,4.8,0
-0.15,2560,4.85,0
-0.1,2714,4.9,0
-0.05,2630,4.95,0
0,2480,5,0
0.05,2746,5.05,0
0.1,2861,5.1,0
0.15,2836,5.15,0
0.2,2530,5.2,0
0.25,2891,5.25,0
0.3,2843,5.3,0
0.35,2639,5.35,0
0.4,1982,5.4,0
0.45,1974,5.45,0
0.5,2629,5.5,0
0.55,2363,5.55,0
0.6,2009,5.6,0
0.65,1873,5.65,0
0.7,1670,5.7,0
0.75,1592,5.75,0
0.8,1583,5.8,0
0.85,1487,5.85,0
0.9,1398,5.9,0
0.95,1416,5.95,0
1,936,6,0
1.05,1121,6.05,0
1.1,907,6.1,0
1.15,745,6.15,0
1.2,661,6.2,0
1.25,669,6.25,0
1.3,436,6.3,0
1.35,475,6.35,0
1.4,270,6.4,0
1.45,278,6.45,0
1.5,467,6.5,0
1.55,130,6.55,0
1.6,211,6.6,0
1.65,154,6.65,0
1.7,220,6.7,0
1.75,168,6.75,0
1.8,39,6.8,0
1.85,137,6.85,0
1.9,71,6.9,0
1.95,65,6.95,0
2,81,7,0
2.05,54,7.05,0
2.1,57,7.1,0
2.15,55,7.15,0
2.2,56,7.2,0
2.25,29,7.25,0
2.3,16,7.3,0
2.35,20,7.35,0
2.4,10,7.4,0
2.45,0,7.45,0
2.5,22,7.5,0
2.55,0,7.55,0
2.6,0,7.6,0
2.65,0,7.65,0
2.7,0,7.7,0
2.75,0,7.75,0
2.8,0,7.8,0
2.85,0,7.85,0
2.9,0,7.9,0
2.95,0,7.95,0
3,0,8,0
3.05,0,8.05,0
3.1,0,8.1,0
3.15,0,8.15,0
3.2,0,8.2,0
3.25,0,8.25,0
3.3,0,8.3,0
3.35,0,8.35,0
3.4,0,8.4,0
3.45,0,8.45,0
3.5,0,8.5,0
3.55,0,8.55,0
3.6,0,8.6,0
3.65,0,8.65,0
3.7,0,8.7,0
3.75,0,8.75,0
3.8,0,8.8,0
3.85,0,8.85,0
3.9,0,8.9,0
3.95,0,8.95,0
4,0,9,0
4.05,0,9.05,0
4.1,0,9.1,0
4.15,0,9.15,0
4.2,0,9.2,0
4.25,0,9.25,0
4.3,0,9.3,0
4.35,0,9.35,0
4.4,0,9.4,0
4.45,0,9.45,0
4.5,0,9.5,0
4.55,0,9.55,0
4.6,0,9.6,0
4.65,0,9.65,0
4.7,0,9.7,0
4.75,0,9.75,0
4.8,0,9.8,0
4.85,0,9.85,0
4.9,0,9.9,0
4.95,0,9.95,0
